DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-26,-32,3,-28,-26,-32,0,100,1.5,1023,42.75,0,0,-32,326,260,260,0,1,5.5,météo très défavorable
2009-01-02,-26,-31,14,-30,-26,-27,0.2,96,5.125,1019,55.375,0,0,-39,143,323,329,0.1,1,5.8,météo très défavorable
2009-01-03,-20,-27,16,-24,-22,-22,1.4,98,3.625,1015,72.25,0,0,-34,335,338,335,1.2,1,3.6,météo très défavorable
2009-01-04,-19,-21,18,-19,-20,-21,2.6,99,2.25,1004,95.125,0,0,-30,338,338,338,2.3,1,1.5,météo très défavorable
2009-01-05,-21,-31,15,-25,-24,-29,1.8,98,4.5,1015,76.125,0,0,-38,338,332,329,1.4,1,1.5,météo très défavorable
2009-01-06,-29,-32,11,-30,-29,-32,0,98,3.75,1018,73.625,0,0,-39,326,260,260,0,1,1.5,météo très défavorable
2009-01-07,-29,-37,3,-35,-29,-36,0,100,0.25,1018,51.375,0,0,-37,260,143,260,0,1,3.7,météo très défavorable
2009-01-08,-25,-36,6,-35,-25,-26,0.3,97,4.5,1024,60.75,0,0,-31,323,329,329,0.3,1,1.5,météo très défavorable
2009-01-09,-21,-25,6,-23,-21,-21,2.9,98,2.25,1019,81.5,0,0,-27,338,260,338,2.5,1,1.5,météo très défavorable
2009-01-10,-15,-24,12,-20,-16,-15,0.9,98,3.875,1023,78.5,0,0,-23,329,332,338,0.8,1,1.5,météo très défavorable
2009-01-11,-8,-16,5,-15,-11,-9,2.3,99,1,1024,87.25,0,0,-14,338,338,260,2,1,1.6,météo très défavorable
2009-01-12,-6,-8,15,-8,-7,-6,4.1,98,2,1021,88.875,0,0,-13,338,338,338,3.4,1,1.7,météo très défavorable
2009-01-13,-3,-9,15,-6,-3,-5,0.9,98,3,1021,76,0,0,-11,332,260,338,0.7,1,1.7,météo très défavorable
2009-01-14,1,-3,22,0,0,-2,0.2,100,9.5,1021,65.75,1,0,-5,119,119,116,0,1,3.7,météo très défavorable
2009-01-15,0,-4,23,-3,-2,-1,0,98,10,1018,51,0,0,-8,119,119,119,0,1,3.7,météo très défavorable
2009-01-16,1,-1,21,0,-1,-0,0.1,100,7.5,1023,65.375,1,0,-5,116,116,116,0,1,5.8,météo très défavorable
2009-01-17,1,-0,18,0,0,0,1.5,100,9.25,1018,70.125,1,1,-5,119,317,263,0,1,1.7,météo très défavorable
2009-01-18,1,-0,23,0,1,0,5.8,100,9.5,1016,70.875,1,1,-5,302,119,116,0,1,3.8,météo très défavorable
2009-01-19,-0,-2,19,-1,0,-1,0.2,98,8.75,1019,59.25,0,0,-5,116,119,326,0.1,1,1.7,météo très défavorable
2009-01-20,-1,-3,6,-2,-2,-2,4.4,99,2.625,1020,93.125,0,0,-4,338,338,338,3.7,1,1.7,météo très défavorable
2009-01-21,-5,-19,19,-9,-11,-17,1.9,96,5.125,1041,100,0,0,-23,338,338,332,1.6,1,1.8,météo très défavorable
2009-01-22,-20,-26,6,-24,-22,-24,0,99,1.25,1048,78.25,0,0,-28,260,260,260,0,1,1.8,météo très défavorable
2009-01-23,-24,-28,22,-28,-24,-26,0,98,1.25,1047,59,0,0,-37,260,260,260,0,1,3.8,météo très défavorable
2009-01-24,-18,-24,25,-24,-20,-22,0,96,4.5,1045,46,0,0,-30,260,143,143,0,1,3.8,météo très défavorable
2009-01-25,-15,-25,13,-25,-17,-20,0,99,3.75,1038,50.875,0,0,-26,260,260,260,0,1,3.8,météo très défavorable
2009-01-26,-14,-17,7,-14,-14,-16,0.9,99,2.875,1022,82.875,0,0,-22,329,338,326,0.9,1,1.8,météo très défavorable
2009-01-27,-13,-22,12,-18,-16,-15,0.2,97,0.875,1009,74,0,0,-22,260,143,260,0.2,1,5.8,météo très défavorable
2009-01-28,-6,-11,15,-11,-7,-7,0.9,97,5.125,1013,44.75,0,0,-14,143,329,329,0.7,1,5.8,météo très défavorable
2009-01-29,-3,-8,17,-6,-4,-4,1.2,97,6.125,1005,75.375,0,0,-9,335,335,338,1,1,2,météo très défavorable
2009-01-30,-2,-8,19,-3,-7,-8,5.5,97,6.75,994,60,0,0,-14,335,113,371,4.7,1,5.8,météo très défavorable
2009-01-31,-8,-14,19,-9,-9,-14,0.6,90,7,1013,47.75,0,0,-17,113,329,329,0.5,1,5.8,météo très défavorable
2009-02-01,-4,-12,19,-8,-4,-6,1.9,97,6.75,1011,67.75,0,0,-11,338,335,326,1.5,1,5.8,météo très défavorable
2009-02-02,-5,-8,19,-6,-5,-8,0.3,80,8.375,1007,57.25,0,0,-12,119,323,119,0.3,1,5.8,météo très défavorable
2009-02-03,-7,-16,12,-7,-7,-13,2.5,92,4.5,1001,79,0,0,-18,338,335,323,2,1,3.9,météo très défavorable
2009-02-04,-12,-20,6,-19,-12,-17,0.3,99,3.625,1009,47.75,0,0,-16,329,329,323,0.3,1,5.8,météo très défavorable
2009-02-05,-12,-21,8,-21,-12,-16,0,97,0.5,1014,43.125,0,0,-18,260,143,260,0,1,5.8,météo très défavorable
2009-02-06,-6,-14,7,-9,-6,-7,2,99,5.5,1013,74,0,0,-10,329,335,338,1.6,1,2.1,météo très défavorable
2009-02-07,-8,-15,20,-10,-10,-15,6.9,99,2.25,998,97.625,0,0,-22,338,338,338,5.9,1,2.1,météo très défavorable
2009-02-08,-15,-24,6,-24,-15,-21,0.5,98,0.25,1007,60.125,0,0,-20,260,260,260,0.4,1,6.9,météo très défavorable
2009-02-09,-12,-23,8,-20,-12,-15,0,98,0.25,1008,55.375,0,0,-19,260,260,260,0,1,6.9,météo très défavorable
2009-02-10,-11,-25,20,-14,-11,-19,2,99,3.5,1021,70.625,0,0,-25,338,338,332,1.7,1,3.3,météo très défavorable
2009-02-11,-15,-29,8,-22,-15,-23,0,98,0.25,1024,30.125,0,0,-20,143,260,260,0,1,8.7,météo très défavorable
2009-02-12,-14,-26,12,-25,-14,-23,0,98,0,1033,37.875,0,0,-21,260,260,260,0,1,8.7,météo très défavorable
2009-02-13,-14,-26,10,-26,-14,-22,0,95,4.75,1033,5.5,0,0,-21,260,143,143,0,1,8.7,météo très défavorable
2009-02-14,-10,-25,14,-25,-10,-18,0,95,7.75,1025,11.25,0,0,-16,116,113,260,0,1,8.7,météo très défavorable
2009-02-15,-9,-17,15,-16,-9,-12,0,97,3.25,1022,37.25,0,0,-17,143,260,260,0,1,8.7,météo très défavorable
