DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,29,13,23,18,29,22,0,26,10,1014,0.75,27,3,22,113,113,113,0,1,11.6,météo favorable
2009-01-02,30,12,23,19,30,22,0,21,10,1015,0.5,28,5,22,113,113,113,0,1,11.6,météo favorable
2009-01-03,32,13,21,19,32,24,0,17,10,1015,0.625,30,1,24,113,113,113,0,1,11.6,météo favorable
2009-01-04,34,14,18,21,34,24,0,15,10,1014,0,32,1,24,113,113,113,0,1,11.6,météo favorable
2009-01-05,34,14,16,22,34,25,0,14,10,1014,0.625,32,1,25,113,113,113,0,1,11.6,météo favorable
2009-01-06,35,15,10,23,35,26,0,15,10,1012,16.5,33,0,26,113,116,116,0,1,11.6,météo favorable
2009-01-07,28,18,9,20,28,23,0.5,36,9.875,1012,39.25,27,8,23,119,116,116,0,1,11.6,météo favorable
2009-01-08,34,17,15,21,34,27,0,21,10,1012,14.5,33,9,27,113,113,116,0,1,11.6,météo idéale
2009-01-09,33,19,9,22,33,25,0,29,10,1012,8.125,31,8,25,113,113,113,0,1,11.6,météo idéale
2009-01-10,33,17,13,22,33,25,0,29,10,1012,2.25,31,8,25,113,113,113,0,1,11.6,météo idéale
2009-01-11,33,15,22,19,33,22,0,26,10,1013,12.375,31,6,22,113,113,113,0,1,11.6,météo idéale
2009-01-12,34,14,14,19,34,24,0,23,10,1013,0,33,7,24,113,113,113,0,1,11.6,météo favorable
2009-01-13,35,16,17,21,35,26,0,19,10,1013,1.125,34,5,26,113,113,113,0,1,11.6,météo idéale
2009-01-14,36,17,9,20,36,26,0,24,10,1014,10.125,34,8,27,113,113,116,0,1,11.6,météo idéale
2009-01-15,34,18,14,24,34,26,0,23,10,1012,4.375,32,14,27,113,113,113,0,1,11.6,météo idéale
2009-01-16,29,19,14,22,29,23,1,48,9.75,1012,21.125,28,13,24,116,113,113,0,1,11.6,météo idéale
2009-01-17,30,18,16,22,30,24,0.2,45,9.875,1012,25.125,28,14,24,113,113,116,0,1,11.6,météo idéale
2009-01-18,32,18,18,22,32,25,0,38,10,1012,12.625,30,12,25,113,113,113,0,1,11.6,météo idéale
2009-01-19,30,19,21,22,30,24,1,46,9.875,1012,9.375,29,14,25,113,113,113,0,1,11.6,météo idéale
2009-01-20,32,18,18,22,32,26,0,30,10,1011,5.125,30,14,26,113,113,113,0,1,11.6,météo idéale
2009-01-21,33,19,14,22,31,26,0,28,10,1011,4.25,33,12,27,113,113,113,0,1,11.6,météo idéale
2009-01-22,30,19,12,22,30,25,0,35,10,1013,10.625,29,11,25,113,113,113,0,1,11.6,météo idéale
2009-01-23,26,17,23,20,26,19,0,40,10,1013,28.75,25,8,19,113,113,116,0,1,11.6,météo idéale
2009-01-24,29,18,7,20,29,24,0.3,30,9.375,1013,37,28,7,25,116,113,113,0,1,11.6,météo favorable
2009-01-25,28,17,9,21,27,23,0.8,44,9.875,1013,27.625,27,11,24,116,113,113,0,1,11.6,météo idéale
2009-01-26,26,19,10,21,26,22,2.2,53,9.75,1013,32.375,27,15,22,116,116,113,0,1,11.6,météo favorable
2009-01-27,27,19,7,20,27,22,1.1,44,9.75,1014,27.875,27,10,22,116,113,116,0,1,11.6,météo idéale
2009-01-28,28,17,15,20,28,24,0.1,43,10,1013,15.75,27,12,24,113,113,113,0,1,11.6,météo idéale
2009-01-29,31,16,14,20,31,24,0,32,10,1013,5.25,29,12,24,113,113,113,0,1,11.6,météo idéale
2009-01-30,31,19,17,21,31,23,0,27,10,1014,2.375,29,6,23,113,113,113,0,1,11.6,météo idéale
2009-01-31,31,17,18,20,31,24,0,29,10,1013,1.125,29,6,24,113,113,113,0,1,11.6,météo idéale
2009-02-01,31,19,19,22,31,25,0.1,35,10,1011,8,29,11,25,113,113,113,0,1,11.6,météo idéale
2009-02-02,27,18,11,21,26,22,1.3,54,9.75,1012,19.125,27,16,23,113,113,113,0,1,11.6,météo idéale
2009-02-03,27,19,12,21,26,22,2.1,58,9.625,1013,19.625,27,14,22,113,113,116,0,1,11.6,météo idéale
2009-02-04,28,19,15,20,28,23,2,52,9.875,1013,32,28,15,23,113,116,116,0,1,11.6,météo favorable
2009-02-05,26,17,22,20,26,19,2.2,74,9.875,1016,34.75,26,16,19,116,116,113,0,1,11.6,météo favorable
2009-02-06,26,17,25,18,26,21,0.2,69,10,1016,37.375,26,16,20,116,116,116,0,1,11.6,météo favorable
2009-02-07,27,16,18,17,27,22,1,57,10,1016,35.5,27,15,22,119,113,113,0,1,11.6,météo favorable
2009-02-08,28,18,13,19,28,21,1.7,62,9.625,1014,25.625,27,15,21,116,113,113,0,1,11.6,météo idéale
2009-02-09,18,17,10,18,18,17,9.1,94,8.25,1017,64.625,18,17,17,116,143,122,0,1,7.8,météo correcte
