DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-22,-30,8,-23,-28,-30,0.2,100,0,1036,68,0,0,-37,260,260,260,,,,météo très défavorable
2009-01-02,-26,-37,8,-36,-37,-35,0,100,1.25,1033,7.75,0,0,-43,260,260,260,,,,météo très défavorable
2009-01-03,-28,-40,7,-40,-36,-31,0,100,0,1022,77.625,0,0,-42,260,260,260,,,,météo très défavorable
2009-01-04,-25,-29,8,-28,-29,-25,1.2,100,3.75,1029,100,0,0,-36,326,260,326,,,,météo très défavorable
2009-01-05,-27,-35,7,-28,-30,-35,0.6,100,2.5,1039,95,0,0,-42,326,260,260,,,,météo très défavorable
2009-01-06,-26,-35,8,-32,-34,-27,0,100,1.75,1039,41.375,0,0,-42,260,260,143,,,,météo très défavorable
2009-01-07,-27,-29,10,-29,-27,-29,0.5,99,0.25,1049,90,0,0,-38,260,260,260,,,,météo très défavorable
2009-01-08,-32,-43,7,-33,-39,-43,0,100,0,1049,85,0,0,-48,260,260,260,,,,météo très défavorable
2009-01-09,-29,-31,12,-31,-30,-30,0,98,1,1040,31.75,0,0,-40,260,143,143,,,,météo très défavorable
2009-01-10,-28,-31,12,-31,-28,-28,0,95,3,1034,27.125,0,0,-41,143,143,143,,,,météo très défavorable
2009-01-11,-29,-33,12,-30,-31,-33,0,98,3.25,1029,36.625,0,0,-42,260,143,143,,,,météo très défavorable
2009-01-12,-33,-37,9,-37,-34,-34,0,100,0.5,1029,87.375,0,0,-48,260,143,260,,,,météo très défavorable
