DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,24,0,22,20,24,22,0,58,10,1016,22.125,25,15,21,113,113,113,0,1,8.7,météo favorable
2009-01-02,24,0,18,17,22,22,0,57,10,1018,0,24,12,18,113,113,113,0,1,8.7,météo favorable
2009-01-03,24,0,23,16,22,22,0,40,10,1019,0,24,8,17,113,113,113,0,1,8.7,météo favorable
2009-01-04,25,0,17,17,23,22,0,46,10,1018,0,25,8,19,113,113,113,0,1,8.7,météo favorable
2009-01-05,26,0,16,17,24,22,0,37,10,1017,0.375,25,7,19,113,113,113,0,1,8.7,météo favorable
2009-01-06,27,0,16,18,25,23,0,41,10,1015,1.25,26,10,21,113,113,113,0,1,8.7,météo favorable
2009-01-07,27,0,17,19,25,24,0,39,10,1015,29.75,26,9,22,113,113,116,0,1,7.1,météo favorable
2009-01-08,27,0,15,19,26,24,0,33,10,1016,6.75,26,7,21,113,113,113,0,1,8.7,météo favorable
2009-01-09,27,0,22,19,26,24,0,39,10,1017,8.25,26,9,21,113,113,113,0,1,8.7,météo favorable
2009-01-10,26,0,14,18,25,23,0,35,10,1016,1,25,8,20,113,113,113,0,1,8.7,météo favorable
2009-01-11,26,0,18,18,25,24,0,37,10,1017,5,25,7,19,116,113,113,0,1,8.7,météo favorable
2009-01-12,27,0,17,19,26,24,0,34,10,1020,17,26,7,21,116,113,113,0,1,10.9,météo favorable
2009-01-13,26,0,23,18,24,23,0,36,10,1020,8,25,7,19,113,113,113,0,1,10.9,météo favorable
2009-01-14,24,0,32,16,21,21,0,37,10,1023,1,23,4,17,113,113,113,0,1,10.9,météo favorable
2009-01-15,25,0,31,14,22,22,0,26,10,1023,0,24,0,16,113,113,113,0,1,10.9,météo favorable
