DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,2,-2,8,-4,2,-3,0,80,10,1030,15.25,2,0,-5,113,113,116,,,,météo très défavorable
2009-01-02,3,-3,5,-5,2,-1,0.3,92,9.875,1030,41.125,3,0,-3,116,317,116,,,,météo très défavorable
2009-01-03,2,-3,9,-4,2,-4,0,83,9,1031,30.75,2,0,-6,143,113,116,,,,météo très défavorable
2009-01-04,2,-1,14,-2,2,-1,0,81,10,1026,57.25,2,0,-6,116,113,122,,,,météo très défavorable
2009-01-05,1,0,30,-2,1,-1,6.7,93,7.625,1024,89.125,1,0,-5,317,227,326,,,,météo très défavorable
2009-01-06,0,-4,17,-6,-3,-4,0.1,69,10,1026,12.5,0,0,-10,113,113,113,,,,météo très défavorable
2009-01-07,2,-3,10,-5,1,1,0.4,96,6.75,1026,64.5,2,2,-4,116,116,248,,,,météo très défavorable
2009-01-08,2,-2,8,-2,2,-3,0.3,92,7.875,1030,18.375,2,1,-5,143,113,113,,,,météo très défavorable
2009-01-09,0,-6,10,-7,-2,-5,0,77,10,1030,4.125,0,0,-9,113,113,113,,,,météo très défavorable
2009-01-10,0,-6,13,-7,-2,-4,0,83,10,1029,4.75,0,0,-11,113,113,113,,,,météo très défavorable
2009-01-11,2,-3,23,-4,2,0,0,78,10,1029,24,2,0,-9,116,116,113,,,,météo très défavorable
2009-01-12,5,4,31,2,5,3,2.3,89,8.875,1024,59.375,5,2,-2,119,113,266,,,,météo très défavorable
2009-01-13,6,5,20,4,6,5,8.7,98,7.125,1013,100,6,5,1,296,296,296,,,,météo très défavorable
2009-01-14,6,5,8,3,6,5,0.2,97,3.5,1017,69.875,6,5,3,248,116,143,,,,météo très défavorable
2009-01-15,5,4,21,1,5,3,0,92,10,1019,41.25,5,2,-1,113,113,119,,,,météo très défavorable
2009-01-16,5,4,21,2,5,3,0.4,84,9.375,1019,65.875,5,3,-1,122,263,116,,,,météo très défavorable
