DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,18,15,9,13,17,17,0.6,84,9.875,1028,13.625,18,13,15,113,113,113,,,,météo favorable
2009-01-02,20,17,14,15,19,19,0,61,10,1023,38.875,20,10,17,116,116,113,,,,météo favorable
2009-01-03,19,16,22,14,18,18,0,56,10,1017,10.25,19,9,15,113,113,113,,,,météo favorable
2009-01-04,20,13,15,13,16,20,0,63,10,1016,17,20,11,12,113,113,113,,,,météo favorable
2009-01-05,17,15,33,14,16,17,0.6,71,10,1015,40.875,17,12,14,386,113,122,,,,météo correcte
2009-01-06,16,14,10,13,15,15,0,67,10,1017,30.25,16,8,13,116,113,116,,,,météo correcte
2009-01-07,17,14,13,13,16,16,0,58,10,1016,1.375,17,8,13,113,113,113,,,,météo correcte
2009-01-08,18,14,13,14,16,17,0,64,10,1015,2.875,18,14,13,113,113,113,,,,météo favorable
2009-01-09,18,16,11,15,17,17,0,84,10,1017,6.875,18,14,16,113,113,113,,,,météo favorable
2009-01-10,15,14,17,14,15,15,0,61,10,1020,3,15,12,13,113,113,113,,,,météo correcte
2009-01-11,17,15,31,14,16,16,1.1,74,9.875,1021,31.625,17,11,14,113,116,116,,,,météo correcte
2009-01-12,22,18,31,16,20,21,2.5,79,9.875,1016,50.375,25,16,18,119,176,116,,,,météo favorable
2009-01-13,17,15,27,14,17,17,1.3,66,9.625,1010,47.875,17,11,14,176,116,353,,,,météo correcte
2009-01-14,14,13,19,13,14,14,0,80,10,1018,40,14,10,11,116,116,119,,,,météo correcte
2009-01-15,14,13,18,12,14,14,0,60,10,1021,33,14,8,11,116,116,116,,,,météo correcte
2009-01-16,15,13,16,12,14,14,0,66,10,1023,6.5,15,7,11,113,113,113,,,,météo correcte
2009-01-17,17,14,21,13,16,16,0,67,10,1024,4.5,17,9,13,113,113,113,,,,météo correcte
2009-01-18,17,15,15,14,16,16,1.5,67,8.75,1023,34.5,17,11,14,113,263,386,,,,météo correcte
2009-01-19,21,18,7,16,20,21,0.1,76,10,1023,52.25,24,17,18,116,119,116,,,,météo correcte
2009-01-20,18,15,17,14,17,17,9.4,85,7.25,1016,68.875,18,14,15,266,263,293,,,,météo défavorable
2009-01-21,15,14,22,13,15,15,2.1,83,8.5,1003,57.875,15,11,12,119,116,116,,,,météo correcte
2009-01-22,14,12,33,11,14,14,19.1,74,9,1013,51.875,14,10,11,119,116,299,,,,météo très défavorable
2009-01-23,17,10,45,10,13,17,0,72,10,1013,28.875,17,12,6,113,116,116,,,,météo correcte
2009-01-24,21,17,35,16,20,20,0.2,80,9.375,1008,23.75,23,15,17,116,113,113,,,,météo favorable
2009-01-25,17,15,30,14,16,16,0,58,10,1011,12.125,17,10,14,113,116,113,,,,météo correcte
2009-01-26,20,17,24,15,19,19,0,63,10,1009,38.5,20,11,17,122,116,113,,,,météo favorable
2009-01-27,15,13,38,12,15,15,0,52,10,1013,8.625,15,5,11,113,113,113,,,,météo correcte
2009-01-28,14,12,33,11,14,14,0,63,10,1015,8,14,6,10,113,113,113,,,,météo correcte
2009-01-29,17,13,30,13,15,17,0,68,10,1015,20.75,17,10,11,113,113,113,,,,météo correcte
2009-01-30,16,15,4,14,16,16,0.2,69,10,1017,41.125,16,10,15,119,113,113,,,,météo correcte
2009-01-31,20,13,14,13,16,20,0,66,10,1015,9.75,20,11,12,113,113,113,,,,météo favorable
2009-02-01,18,15,31,14,17,17,0,55,10,1009,16.75,18,8,14,113,113,113,,,,météo favorable
2009-02-02,23,15,28,15,18,23,0,42,10,1008,25.375,24,6,14,113,113,116,,,,météo favorable
2009-02-03,21,17,34,17,19,20,0,42,10,1007,10.375,22,8,17,113,113,113,,,,météo favorable
2009-02-04,18,15,19,14,17,17,0,55,10,1012,4.125,18,7,15,113,113,113,,,,météo favorable
2009-02-05,23,15,16,14,18,23,0,51,10,1013,2.5,25,9,14,113,113,113,,,,météo favorable
2009-02-06,22,17,22,17,19,21,0,55,10,1009,6.5,24,8,17,113,113,113,,,,météo favorable
2009-02-07,19,17,39,15,19,19,0,47,10,1005,22.125,19,8,17,116,113,113,,,,météo favorable
2009-02-08,15,13,42,12,14,14,0,52,9.875,1012,18.875,15,3,10,113,116,113,,,,météo correcte
2009-02-09,13,11,39,13,13,11,0,58,10,1022,17.75,13,5,7,113,116,113,,,,météo correcte
2009-02-10,21,13,24,13,17,21,0,56,10,1024,1.625,23,8,12,113,113,113,,,,météo favorable
2009-02-11,20,17,15,15,19,19,0,65,10,1019,7.625,20,13,17,113,113,113,,,,météo favorable
2009-02-12,17,14,29,13,16,16,0,53,10,1016,6.375,17,7,13,113,113,113,,,,météo correcte
2009-02-13,15,12,37,11,14,14,0,56,10,1015,15.125,15,5,10,113,113,113,,,,météo correcte
2009-02-14,14,11,29,11,12,14,0,57,10,1018,10.25,14,3,8,113,113,116,,,,météo correcte
